사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2018-04,2호선,0207,상왕십리,32,4,5944,1188,15061,5326,42763,12660,66400,42781,34431,20942,23519,14990,21329,12829,21679,14291,21987,17043,19237,17549,18981,19717,21023,24136,24030,29594,31740,44809,23046,39226,14784,26161,13021,24467,9953,25163,4093,16425,564,5901,2,15,3,4,0,0,2018-05-03 13:30:17
2018-04,2호선,0208,왕십리(성동구청),622,4,8046,1296,12570,7769,33180,16747,53552,34646,33873,25463,23683,18091,24201,18700,29255,20994,30282,23012,29402,22067,31164,23602,39862,27735,46072,36758,50270,59670,35966,49139,33507,29181,36798,25496,37497,26000,24217,18730,4290,7847,1,37,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0209,한양대,7,2,1840,536,3583,6619,6303,21393,9785,82003,7869,78313,9091,62297,13045,26165,18035,36583,19249,28712,24956,22640,31885,15947,48432,14553,57578,17915,44635,24787,25390,13945,23559,7898,30880,7133,22922,7051,13010,5197,2696,1810,0,10,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0210,뚝섬,18,0,4512,1797,10325,14475,27693,31026,35954,121240,23172,57856,18416,24614,18279,19899,21308,22298,22453,24031,23143,22331,25238,23689,31044,25545,39180,29860,96813,47250,50506,33111,27499,19764,30292,17335,20591,17719,8152,11498,1096,4189,2,43,1,1,0,0,2018-05-03 13:30:17
2018-04,2호선,0211,성수,32,0,5634,3947,12211,31812,29448,68981,37301,260832,29070,89866,25121,38939,25862,30794,28517,29929,32619,33389,35120,32162,39164,33709,46069,34876,69637,39174,177752,47711,91588,38752,46967,23775,44609,20733,32938,18979,15112,12816,1895,8076,7,1351,0,1,0,0,2018-05-03 13:30:17
2018-04,2호선,0212,건대입구,282,12,21338,2105,28630,16651,68235,31206,118754,82449,77067,61127,47241,58799,46843,59450,53300,71964,61954,77583,62869,75387,67242,81686,76248,95676,89139,126505,108357,193695,88998,167149,89913,96496,102801,83539,108559,75983,68831,47362,11613,16921,7,1423,2,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0213,구의(광진구청),55,1,13915,1569,28446,11287,79681,17481,125546,43356,71487,27847,38163,21961,33141,21061,33658,23836,34859,27137,30343,29089,29099,35814,33051,41983,37349,54480,47774,85521,28090,78067,21489,52545,20271,50419,16875,50791,10298,29466,1746,10001,3,325,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0214,강변(동서울터미널),21,1,10420,4113,33355,35518,106410,43613,152665,63075,113415,55565,90346,53792,82479,54095,80432,60835,77999,71398,72445,76848,72288,90337,76568,100309,88567,111139,96411,152982,83090,130908,66103,90708,55165,79288,42139,74723,16253,40985,2209,10983,10,259,1,2,0,0,2018-05-03 13:30:17
2018-04,2호선,0215,잠실나루,8,1,3208,1672,16070,10876,56470,26075,65746,44290,39957,31257,30339,23954,29491,20409,28852,24563,27302,27420,27238,25391,28389,25051,31909,26115,36739,31958,40969,47862,23497,44370,17821,27985,13497,26294,8950,26145,4017,16191,675,5714,0,95,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0216,잠실(송파구청),114,4,14644,6011,57655,48635,151952,99294,218199,187191,153335,177350,103706,123176,104373,147509,114275,142630,132197,154678,138780,152472,160465,160318,182391,167744,220677,188536,297611,264836,217639,218427,200376,128060,176373,115000,136946,114655,49372,68944,5655,18614,10,175,0,1,0,0,2018-05-03 13:30:17
2018-04,2호선,0217,잠실새내,49,3,6584,911,22454,10284,75311,22219,101532,34125,61911,36919,40710,28337,38175,30315,40001,35483,39415,40192,34503,43463,36523,48685,43008,55426,47505,69171,53661,103166,43161,92866,36880,54854,38346,46842,38343,44420,24353,26256,4175,9300,3,49,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0218,종합운동장,16,0,2969,1413,9258,16089,25904,32419,36122,39412,26586,25146,19486,18060,19542,15921,18092,23540,18967,40057,17535,24559,21095,27254,28227,47092,47742,51866,38150,84154,27475,43998,43610,20963,50258,18818,39415,20599,7441,12269,587,3722,3,171,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0219,삼성(무역센터),171,0,5443,5607,9415,42649,22118,135241,30117,360411,31327,263421,31053,123229,43876,106793,57267,99964,75286,107641,90038,94247,110437,81364,129429,76987,178100,75093,324429,88715,212028,60910,149296,30772,131628,22506,99491,20811,29805,11463,4225,6165,2,2125,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0220,선릉,145,2,6375,6357,14066,41498,27949,123316,41239,313051,39686,227446,42547,90560,54821,64563,64213,58656,75819,66328,81971,60611,99073,54835,139429,54630,160157,59219,315474,68685,168877,50588,104038,29570,111343,24926,86866,23514,35988,14247,5864,6536,3,96,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0221,역삼,45,1,4038,7643,10476,38887,18098,126492,29897,367751,27878,272975,29003,110328,38481,71259,47169,59201,58503,71004,63318,61244,79880,56135,95759,51217,145441,55170,306709,66189,159932,50563,92570,28905,98227,22174,69157,19572,29994,13251,5370,4385,0,19,1,1,0,0,2018-05-03 13:30:17
2018-04,2호선,0222,강남,282,8,14398,11870,24772,58005,49950,190116,80020,373283,66738,359957,65625,180797,86413,151988,111603,145475,146948,178015,149309,155558,176631,146520,196685,154333,250980,186042,400233,268582,276510,214335,221469,100657,269490,74634,292037,63708,130002,38946,22950,11914,10,40,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0223,교대(법원.검찰청),9,0,3081,6554,14612,32556,31882,76884,45382,176536,37246,156839,35478,80144,42664,67966,44909,63361,56896,69802,63276,66153,68544,59590,70152,59740,96094,69696,165864,91157,90776,65335,67675,36696,75540,31537,75570,30900,27796,17231,5429,5326,2,19,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0224,서초,2,0,1282,5040,7411,20365,17759,56237,26155,140786,29350,102256,22710,47889,32906,41899,32314,30847,40941,34015,40394,35225,43819,26640,53472,28897,64966,29022,118847,33902,55930,26565,35698,13480,41416,12482,30865,12873,10025,7405,1459,2106,1,8,1,1,0,0,2018-05-03 13:30:17
2018-04,2호선,0225,방배,13,0,3354,3278,12153,14258,32575,31281,45448,93726,35237,69327,25041,48987,26422,32943,28835,35014,32763,34902,35013,33008,41076,31072,50954,32995,57939,39533,87526,48651,45638,40742,32630,26245,34320,24691,29104,26704,12367,15782,2647,5200,3,11,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0226,사당,93,1,13365,3865,28089,36921,77370,65711,106462,92875,76060,68808,51733,52508,48696,60203,56873,62319,63430,62271,65901,60997,64011,70264,68195,87717,79450,123181,102683,190948,80539,158662,76335,91691,84906,83953,85025,87886,47179,56017,8390,17840,19,1022,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0227,낙성대,89,4,12326,2331,29145,11823,100023,25401,145250,53421,90402,43526,48386,36264,41282,27734,45011,32881,45191,35592,39965,35573,42955,39940,46185,46862,51757,58489,63083,97175,41679,102265,30193,66457,30479,65175,24069,68194,13953,46864,2218,14235,5,192,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0228,서울대입구(관악구청),4436,19,32485,3018,51524,18763,151148,38272,207789,83159,133870,83006,79798,70227,71860,57120,75474,63829,85723,69751,75708,67877,79484,76518,86828,87393,100557,109643,114695,168886,77206,174309,62801,110975,64978,104078,61814,108130,33395,72911,5402,24676,8,5346,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0229,봉천,83,1,17459,2443,32033,10929,87184,15596,121118,29231,72787,25606,40967,22606,34126,23415,36969,24773,37654,27127,30791,29467,30434,37350,35093,41810,36800,52992,38570,78897,25740,75632,19375,49101,18275,46560,13653,47568,6088,29725,1004,8755,5,363,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0230,신림,287,16,45814,5257,88187,24309,249948,41330,359735,70587,211018,59994,115595,54772,98637,60477,102478,66451,101564,75227,89681,81782,86233,98474,91592,119810,101582,157754,112240,259438,83057,276674,66014,175580,64471,165010,58313,174039,33596,116597,5806,37316,4,637,0,1,0,0,2018-05-03 13:30:17
2018-04,2호선,0231,신대방,127,3,29461,2396,41843,12130,108562,20791,145047,38896,95541,26993,54412,23655,43740,23306,43048,25810,41776,30196,36532,33887,34337,44108,37736,50964,40177,67358,50449,95182,33086,93798,22935,64641,18441,67293,13713,74077,6759,45054,1175,13209,1,141,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0232,구로디지털단지,266,7,45684,6250,62121,22909,163376,76130,205292,286316,133307,161625,82366,66931,73443,56688,77799,57311,80115,69919,70488,74049,71994,79158,86460,88656,119390,118781,251082,173826,145688,166521,88795,108731,76348,106884,60083,111504,30139,71473,4701,19944,3,257,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0233,대림(구로구청),356,28,40521,4237,38686,13696,83422,26372,113783,71319,81721,45513,50593,40321,43020,42630,44619,39984,45546,43012,41176,43499,40418,50544,44988,55426,53052,76719,72467,89912,43799,77908,31447,54042,25325,63605,18235,68803,9447,35399,1518,9851,4,298,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0234,신도림,3012,20,41726,6386,63725,27005,166009,54321,168513,137638,109862,91427,77572,80437,73292,75263,83181,84452,91033,89103,89440,82128,91419,89065,97781,102102,116846,129317,162616,196695,109064,179433,91332,104084,88829,94909,73413,96463,39965,72968,3789,32262,9,3920,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0235,문래,13,0,4375,2235,15034,10912,48616,32227,51208,115053,30445,58686,23179,23813,23275,22353,24628,23303,26969,24923,25606,24793,27512,24467,30795,26819,42946,31424,93491,48843,44733,45000,26860,25949,26147,23494,20734,21679,9215,15042,1558,5047,2,111,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0236,영등포구청,86,1,6903,3350,15469,15189,47529,38976,51605,124666,35106,57837,27511,29001,27833,25751,28685,27090,31542,29826,29940,28964,32812,29080,36485,31839,48509,37488,108436,55019,45329,46970,32214,28258,30197,26143,24175,25457,10982,17505,1742,6447,3,136,0,0,0,0,2018-05-03 13:30:17
