사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2018-04,3호선,0315,무악재,24,1,2056,160,5841,2364,17032,3343,19703,6403,11495,4787,8151,4388,7191,3937,6355,4327,6355,5120,5262,5878,4992,6822,5338,8453,6261,9863,6883,14477,4113,14480,2805,9464,2330,9063,1650,8749,719,6204,112,1786,0,1,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0316,독립문,138,1,5667,568,7884,6655,19871,18387,24887,22468,17328,21936,14275,19923,13917,13744,16237,12728,15683,14513,16690,14555,18666,14127,21222,15057,18152,16914,19191,20249,10003,18430,7198,11859,6465,10506,5093,10547,1517,6882,257,3046,5,1159,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0317,경복궁(정부서울청사),50,2,3100,1633,6709,16015,17654,53961,28042,147401,26185,97868,21725,70128,28792,59242,36307,53351,45439,54651,52359,47233,65491,40419,80090,36707,87959,37554,129031,42658,59448,31497,44424,16143,47199,14537,34104,13956,12975,8186,1950,2472,0,83,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0318,안국,35,0,2164,2127,3675,21979,7709,111618,11436,128502,12651,94139,15389,74498,26797,72366,37437,61211,46262,58365,55342,52871,64235,41816,78735,36373,103850,33912,145458,33351,69087,19374,49790,9438,48634,7347,31424,7244,9469,4562,1078,1408,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0319,종로3가,27,1,724,846,1317,5426,1891,13729,3217,51448,4993,53084,7413,36323,9720,28091,10866,26655,13339,26204,14912,25796,21125,24194,19401,19964,26084,20538,46215,22818,43357,15774,19808,7171,20840,5405,14749,4646,6916,2926,789,1196,1,14,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0320,을지로3가,8,5,761,960,1226,8149,2267,33111,4543,81033,7963,41984,10083,20839,12029,17371,11663,14816,14791,16125,16739,13710,18002,13682,19265,13279,29601,13313,64890,14980,36187,9691,20465,4803,18684,4060,13519,3451,6832,2323,1188,664,0,4,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0321,충무로,0,0,0,0,0,0,2,0,4,0,3,0,2,0,1,0,3,0,3,0,7,0,4,0,8,0,7,0,8,0,9,0,2,0,8,0,5,0,3,0,3,0,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0322,동대입구,44,0,2028,1224,3403,10350,6601,20632,9395,81531,8437,44928,9184,48804,12691,40295,17496,29484,22208,28119,23552,22522,26306,18308,31755,18502,44011,21399,57232,24355,31887,13981,29133,8260,33112,7132,21003,6075,7482,4712,1012,1454,0,123,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0323,약수,121,1,6692,1231,12589,6295,32751,19185,48291,40137,32596,25492,22344,18071,21498,16902,22538,16605,23907,18475,21456,20300,21816,21630,25398,25839,27140,30762,38634,43643,24458,36030,17856,23156,18275,22204,14913,21639,6672,13917,1110,5185,2,724,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0324,금호,29,1,4891,631,12061,3099,31414,5309,45884,8779,29157,8094,17860,7246,15127,7829,14061,8943,13941,10728,11862,11702,11227,14214,11568,17201,12916,21068,13004,31268,8882,27636,6634,19311,5454,17170,4132,17202,1929,10520,335,3116,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0325,옥수,177,6,3205,841,10427,4937,30857,9207,39725,18046,26581,12931,18711,9925,17630,11073,16174,12273,17130,14225,15149,15129,15331,18320,16899,20962,19109,25221,19766,35828,13897,32697,9661,21282,9039,20357,6958,20727,2979,11517,557,3343,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0326,압구정,49,3,3561,2035,9572,25354,20075,56283,33402,162818,25545,166460,30067,83638,36697,72178,43985,56198,50285,63607,59208,58625,66367,54515,75376,54708,91310,61923,142603,74019,113251,52621,86632,23467,62275,17869,52129,15796,21766,9280,2077,3528,6,403,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0327,신사,80,8,6382,1643,9505,20110,16537,45143,24430,119108,21653,137615,21463,74367,26699,54160,31790,55049,38923,61106,46231,58415,54509,54707,63111,55315,80913,60520,142082,83885,110356,62919,73076,28690,79995,20498,73881,18160,32387,14079,4196,5845,2,5,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0328,잠원,5,0,1581,915,6438,7220,20521,8656,26399,11285,15882,8081,11614,6320,10632,6140,10275,8132,9931,8595,9105,8801,9395,9505,10889,11079,13650,13101,12381,18425,8691,17120,5841,10790,4756,10639,3804,12244,1347,6728,202,2086,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0329,고속터미널,141,3,7008,4615,9135,45111,33980,59609,61060,88682,63935,114312,67827,99856,79880,114925,96751,112297,108299,114449,115138,121448,126937,128054,143250,131064,160857,139749,167305,160203,155161,116123,168510,68118,128902,49955,90814,38201,35029,20478,3277,4215,0,1,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0330,교대(법원.검찰청),19,3,1081,694,3540,8102,10782,27929,14194,56644,11796,39241,13905,20388,16964,14169,19445,13777,24304,14606,27086,13700,28374,12444,30168,12160,40920,16699,70477,22568,35280,14958,29252,7328,30781,5629,37487,5078,11348,3058,1786,1147,1,3,1,1,0,0,2018-05-03 13:30:17
2018-04,3호선,0331,남부터미널(예술의전당),29,1,3024,1384,9553,29013,32181,67171,51251,199579,45648,93048,44670,58452,49097,46935,50506,49259,55232,56544,53773,58901,58196,58215,68378,62981,90635,66902,170862,80359,89318,63984,63167,36488,56854,30153,51162,24420,18760,12815,2111,3556,0,6,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0332,양재(서초구청),143,4,5640,2552,17268,39724,42344,108083,54219,274151,40914,142849,38203,71961,41704,63518,47152,55916,57444,63495,60755,56451,69150,52452,82594,54409,118559,69732,222850,91363,120132,72308,82641,40741,80986,35671,64347,33944,23024,20171,2597,6074,1,93,2,1,0,0,2018-05-03 13:30:17
2018-04,3호선,0333,매봉,32,0,1704,558,6818,8701,18677,21119,23199,72049,16003,35890,13235,15454,13793,14226,13228,12619,15649,13227,16611,12804,17947,12781,20290,13875,28439,17005,60593,22142,28050,18397,17039,10995,17597,9579,12342,10543,4238,6432,515,1965,0,116,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0334,도곡,60,0,1338,289,4653,5275,13232,14214,17454,26149,11628,20282,9176,8972,9406,9610,9105,9015,10004,9303,9937,8933,11099,9022,15051,9545,18411,10631,23167,13155,13134,12281,8361,7796,7789,7346,5833,7951,1836,5049,299,2984,7,626,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0335,대치,12,0,2542,768,14146,7760,32505,20376,33770,27843,21766,19815,16293,15255,15623,13570,17734,17133,17662,21591,16478,18884,18544,20989,19687,28097,26820,29201,28183,30645,21803,27458,15491,16216,20023,15941,30093,16821,4422,10571,667,3783,0,1,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0336,학여울,14,0,634,224,1805,1604,4856,3630,5557,9206,4038,9997,3176,9794,4111,9104,6002,8326,8196,8512,9171,7594,9336,7038,10139,4705,11670,4068,10806,4969,3628,4254,2179,2840,2473,2703,1570,2845,475,1917,71,706,0,0,1,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0337,대청,27,1,3617,1402,10589,9585,31765,18703,36026,26221,20217,11420,15153,8792,14422,9122,14086,9220,15587,10742,13210,11427,15078,14266,23825,16322,24076,18153,28942,24655,14531,24123,10276,16557,8986,15529,7285,17914,2693,10895,327,3585,0,6,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0338,일원,9,1,2225,1071,9053,7793,25377,27282,25379,25574,18008,20320,17522,18517,18352,14403,19291,15294,16730,17338,17532,15652,19929,13898,25654,13577,27035,15450,17735,20760,11378,19287,8741,12414,5358,11879,3778,13126,1187,6976,160,2661,1,17,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0339,수서,110,1,5363,1915,14122,15401,42108,35474,49808,58209,35263,33819,33119,23268,26558,18458,30169,23027,29691,22881,23641,24536,31845,27728,37744,32259,40499,37058,56844,49648,28964,44825,26094,31352,19096,25666,17233,26950,8415,13011,831,5729,8,374,0,2,0,0,2018-05-03 13:30:17
2018-04,3호선,0340,가락시장,28,0,2895,576,8429,5403,26807,11975,30417,33901,21855,16584,17920,11550,17140,12080,16556,13117,17014,13910,16098,15113,16406,16910,17780,18420,20609,22409,32807,29101,16338,25723,12234,16325,11367,14950,8626,14920,3671,9325,547,2783,5,60,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0341,경찰병원,13,1,2456,253,8072,2863,27082,8304,30200,32490,17951,15395,13676,9424,12505,7272,10623,8076,11074,10513,11097,10539,11221,10654,10973,11308,14051,15142,22135,21005,9858,21162,7169,12942,6651,11891,4583,11898,1797,7847,203,2204,0,1,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0342,오금,14,0,3541,9,9414,2162,31652,6979,37065,17047,19708,8198,12222,6465,10367,5346,10229,6079,9898,7340,8199,7468,7764,9241,9398,11172,10830,14732,15604,21663,7508,20482,5073,13796,4899,12901,4256,14360,1508,9283,135,2928,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0409,당고개,50,0,9866,21,20477,7821,57760,11228,56128,15980,36467,14686,24976,14249,22002,12708,21516,13242,20310,15713,18422,15997,17190,19804,17931,23304,20199,28083,19001,38120,15099,38855,9027,30112,7021,25923,5776,26549,2610,19565,352,6791,1,673,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0410,상계,46,4,15462,209,43306,9007,110279,21684,99067,21646,56188,18430,38730,16310,32878,15843,33087,20234,31460,22099,25194,23261,25775,29375,29034,35165,27123,45293,29148,66581,19971,71775,14261,48286,12631,42933,13296,41501,4725,32322,787,10218,3,1091,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0411,노원,139,9,13455,599,30050,10409,65480,19729,71077,36095,42655,38159,33859,28015,32144,26074,34505,30654,34694,33287,32246,35853,32362,39195,37324,45702,37816,60780,41482,89977,31376,87111,33613,54208,30520,48033,32470,42524,15590,32451,2694,11631,3,412,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0412,창동,2127,66,17661,3292,45944,12398,122068,24841,103312,47675,68021,40704,50505,32927,47298,31164,48467,35853,47087,41768,41396,45460,42422,52300,45244,61550,48833,71779,54751,106295,33007,105217,25386,71572,24496,61917,20869,58275,9894,42776,1530,15186,0,10,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0413,쌍문,112,3,25772,1333,62687,11468,158870,17714,168104,32025,97090,25321,65749,21827,54546,23254,52345,27605,48634,32286,41314,36777,38442,45019,40852,56274,44040,72855,43333,109395,31142,117320,21536,80868,18210,69040,14098,71218,6660,47983,1032,17127,0,0,1,1,0,0,2018-05-03 13:30:17
2018-04,4호선,0414,수유(강북구청),80,4,23193,3549,55066,14108,150218,25337,160516,64295,97392,48800,68083,39430,61028,39227,64370,42336,61348,46918,55584,52236,54449,60249,58558,74845,64326,89518,76773,136312,50619,139943,38517,92975,34079,82277,28055,80705,16429,53899,2556,15169,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0415,미아(서울사이버대학),28,0,12062,1769,26915,6931,64621,21377,72046,42062,43088,22987,30725,17774,28230,21529,29171,20582,28397,22203,27725,23240,26894,26761,28474,32243,31955,37646,35386,52517,22872,49994,15378,33040,13355,29902,12796,29666,4268,19060,528,5116,0,0,1,1,0,0,2018-05-03 13:30:17
2018-04,4호선,0416,미아사거리,24,4,15030,3085,41430,13883,110843,23950,119454,38636,71656,37466,49452,30202,43429,32072,45483,36948,46632,38654,43755,42695,45574,50913,51122,57583,52904,70541,52878,104088,42163,102800,42439,62481,26338,53936,20161,55149,10650,32374,1828,8018,1,1,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0417,길음,47,3,10391,2036,35281,9895,99783,19213,101893,49347,57748,40257,38756,33051,34098,35228,35830,29705,36502,35005,33220,33284,36316,34987,41729,41900,48361,52347,50873,75253,31015,73354,23605,48218,19167,43624,19278,47198,9121,31538,1298,7632,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0418,성신여대입구(돈암),19,5,6248,1663,22528,7817,58979,23292,70099,58864,45868,36262,34846,30055,35304,40511,39287,34034,40067,35861,40276,39781,43613,38739,47558,43398,57706,54853,64422,76914,42343,71717,36285,45402,38690,39418,38301,40876,18153,28679,2696,7684,6,4,1,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0419,한성대입구(삼선교),80,6,8221,1298,15845,9029,40256,26687,50254,47828,33714,33167,25131,26502,25177,25015,28812,24476,29728,27167,27654,24962,30578,26485,40202,30623,39613,37056,42949,44131,28532,39143,24208,25869,24875,22899,22084,25287,10069,16329,1553,10344,0,1267,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0420,혜화,45,1,4383,2659,9266,23366,20767,56566,29465,145550,29249,114286,35821,85473,42390,80575,51781,81202,59199,102416,67588,89833,88921,73647,101426,71280,122432,84184,144418,104093,91470,86203,85940,34574,114263,27206,109432,24299,49604,16379,6889,6315,4,94,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0421,동대문,549,12,10099,2745,5862,17058,6891,45292,10771,94625,16347,83719,23162,71473,31762,62325,41831,54183,50422,57407,60089,52341,69357,46051,74402,36524,98722,30480,97537,25338,53183,32277,36031,26100,33069,17839,31922,11227,18725,9920,2138,2629,0,30,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0422,동대문역사문화공원,387,5,12482,1650,7845,17500,10343,33660,14830,89526,17041,47946,18226,37416,21433,35787,26429,34152,30307,37129,37243,35327,44286,31825,50973,30925,66336,33488,100527,38938,69476,54065,53300,33371,52090,24566,47570,18602,28548,12640,4951,3620,2,29,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0423,충무로,102,7,3975,2964,6089,20347,12166,63203,20197,227823,24330,131207,28129,80513,33729,65827,37958,57734,47532,58721,53126,52222,62477,44357,72925,41253,101051,45630,181587,52366,108936,36848,73468,21372,74391,19135,61993,18549,34680,13344,6978,4416,7,133,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0424,명동,39,1,1690,1813,4203,18755,7123,64873,15456,152427,31962,110200,40868,78248,45619,86199,48361,94628,56653,91351,66493,83933,82747,86642,95751,88274,109385,97279,160176,90485,113302,71249,103091,48619,107290,34532,109530,22514,46246,14105,3206,3862,4,118,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0425,회현(남대문시장),53,4,2592,1136,4310,30497,7544,67608,12191,166248,17791,118559,25280,93355,36740,98438,49585,80705,65245,69652,80243,66828,87224,56366,100468,43404,129932,33290,140435,27805,73817,18077,68276,11215,32703,11767,20117,11343,8640,7649,1206,2078,0,154,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0426,서울역,190,1,4730,1033,7628,19546,14932,40580,20494,106330,16516,54512,15511,29299,17376,29268,18715,32643,18149,33264,17664,33942,19810,36982,23251,39715,38087,44421,79361,46648,34041,38636,21817,28291,20034,28754,14991,24630,7616,15267,1086,5483,1,563,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0427,숙대입구(갈월),3,0,3369,755,9010,8697,21050,30617,33090,80433,24688,47647,21463,37353,23452,30141,25188,26406,28036,27329,27689,24620,32964,22959,46662,24929,49104,30960,69346,41267,37793,33189,29205,21048,30142,20217,26241,19903,12736,13272,1936,3414,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0428,삼각지,6,1,688,615,2251,4780,6384,12499,8726,30075,6262,13682,4907,9861,5396,9460,7128,9302,8093,9121,7940,8408,7873,8206,8313,8546,13000,10017,25953,13354,12762,10493,8472,6777,7917,6154,6018,6048,3013,4267,361,1604,2,19,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0429,신용산,16,0,1501,1148,4969,11335,12712,32245,18695,102890,15757,56215,13189,26738,16652,21947,17052,20519,20390,23170,20176,22200,24132,22080,28909,22123,38776,25360,90084,31138,50630,23673,31661,14350,27543,11827,19879,9689,10791,5593,1639,1660,0,0,1,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0430,이촌(국립중앙박물관),84,22,1237,764,5545,8035,17586,19201,22053,32473,14582,25544,11825,18171,13377,16122,18394,17132,16636,22422,16303,20734,20034,18385,27233,18107,29400,18862,29908,25264,15158,20300,10857,11985,9944,10371,6214,10399,2418,6357,275,2223,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0431,동작(현충원),26,0,464,220,1750,2339,6186,3689,8204,9935,5497,7489,4309,4635,8429,4059,6025,5535,4474,7447,5558,5716,6680,5438,5875,5309,5824,5898,7165,7594,3796,6339,2621,4153,2615,3469,2101,3165,726,2203,137,873,1,93,0,1,0,0,2018-05-03 13:30:17
2018-04,4호선,0432,총신대입구(이수),69,4,7331,965,19889,11242,57386,23036,75661,51022,47834,38479,35022,30098,33340,27983,35044,31810,36483,34852,35006,37907,34044,42126,34289,51608,38140,61277,49564,90966,32934,74518,27978,42201,28648,36671,24609,34929,12218,21816,1743,5995,1,153,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0433,사당,106,0,12404,1302,30061,20053,81085,34268,99720,51507,70730,38137,49784,28453,43389,32422,44930,35389,46457,32929,43252,32041,41229,36564,43701,45598,49288,64998,58789,104340,44770,84732,40694,46195,44611,41602,40834,39978,21066,26520,2977,10212,5,1280,0,0,0,0,2018-05-03 13:30:17
2018-04,4호선,0434,남태령,0,0,663,73,1660,1294,12238,5409,22157,6405,13271,2341,7300,1324,7422,1262,7019,1408,6036,1377,5595,1417,5589,1525,7936,1606,9032,1865,12841,2459,6302,2769,1780,1385,1014,1223,555,1096,221,656,47,330,0,12,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1001,서울역,2,0,61,129,93,1585,6797,2539,18708,3282,10414,2334,13795,1416,14279,1068,12962,1375,11208,1224,5437,1339,12279,1688,13143,1903,16159,2521,15196,3989,12294,2784,9861,1414,16274,1581,12369,1055,4631,249,1224,34,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1002,남영,62,4,2998,1027,5496,7439,14393,30036,21141,76914,13748,41129,12387,21129,14106,17926,14598,16617,16431,16112,17231,14140,19844,13794,27095,15462,31614,18080,54903,25065,26322,20572,19145,13188,19134,12303,15604,11919,7670,8044,477,1697,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1003,용산,578,13,5888,6291,6968,38811,23219,92940,39439,162714,47148,113648,38121,82302,48518,72788,50320,70215,62853,72556,56803,72573,87963,73730,88998,73880,113453,76726,161209,86186,124202,63319,107529,46378,94294,32915,68602,21642,35284,9041,1892,2923,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1004,노량진,282,5,6171,2214,9864,10495,25667,21028,34570,31994,20887,24201,15937,15916,16955,16982,19220,20254,24706,21498,22527,18049,22516,18953,24915,21626,29775,28962,34885,44890,23313,33141,23113,20104,28487,18263,34453,16955,12251,11451,625,2687,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1005,대방,490,9,6273,2981,14292,12757,38190,39885,49502,61271,30556,30650,21907,17935,20829,16192,23132,18570,23323,20788,22554,18423,24215,19463,24716,22372,34526,28510,54049,41401,25562,34704,18595,23548,17448,22692,15070,21954,4586,14653,197,3612,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1006,영등포,3665,50,21409,8248,21953,29528,44055,69697,67916,144834,49203,105042,45563,83027,49907,89454,61265,96306,69314,106772,78643,98646,94341,94860,104425,95659,125520,110299,177382,148006,125983,113921,129095,59268,102194,46660,82135,38846,39637,22921,1573,5852,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1007,신도림,467,4,2241,775,3587,2208,10890,7415,13309,15819,7367,6972,5145,4940,4850,4890,5018,4946,5638,5652,5147,4871,5301,5692,6095,6336,8573,8601,13618,12880,7004,10653,5208,6002,5138,5176,4108,5042,1886,3373,56,1954,3,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1032,신길,554,0,13929,2606,13199,7711,29387,18288,37212,33259,23564,12046,14622,7944,12903,7597,15265,8244,13726,10054,11812,9831,12575,11608,16095,13855,19209,18389,35025,24623,16404,21257,10980,14748,10167,15785,7287,14331,3549,9483,231,2766,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1701,구로,9871,43,27599,5471,23411,15019,45862,36032,45932,95884,34166,52634,27771,31008,26400,27706,28017,26391,29885,28920,28489,28553,31151,29901,35286,33575,47631,45011,83630,55706,41696,44875,34046,28662,24014,27971,18105,26437,8824,19045,156,17894,8,32,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1702,가산디지털단지,1416,6,9091,1709,9158,10503,17160,45813,15595,159894,13804,75541,12481,22384,12360,18625,13766,18440,15684,19641,15806,19040,17070,19422,20005,21523,42999,26429,114207,30937,55094,26455,33984,15107,28791,14983,20145,13842,9354,7757,284,1251,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1703,금천구청,760,7,10804,1625,21808,9483,52556,17117,46669,30478,28406,12057,20383,10097,17879,10418,18407,12722,17380,14214,14356,15874,14562,18623,16660,23282,20546,26800,27853,40408,14084,36926,9952,21609,8053,21386,5800,18639,2309,12648,67,1370,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1704,석수,380,3,8617,3246,19328,8048,50404,16394,51153,22195,30781,16266,19657,12533,17198,9255,16841,9990,15140,11275,13698,12000,15526,13810,17265,18136,23325,23994,27146,37448,15803,35083,10425,22631,9044,22691,6532,19769,2734,13925,70,1264,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1705,관악,155,0,7317,1911,15070,5201,41207,6859,39714,12289,21095,13538,14015,12526,11799,9499,14033,8802,13457,9303,12182,9728,11457,11212,13511,14011,15800,17023,14286,29719,8991,28339,6404,18400,6172,17481,4015,15581,1700,11208,80,1451,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1706,안양,253,13,15358,2904,35948,12772,96228,22629,88043,70290,52594,72005,39326,46253,37810,42338,42924,42437,44595,47055,42614,41612,50871,43315,65027,50421,73006,60705,57060,99509,40697,89462,42762,49811,39496,46736,37163,40047,16914,27405,691,4079,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1707,명학,109,0,7581,1788,12721,7437,30700,24024,29506,75778,16265,18724,11924,12487,11897,17917,12818,11044,12889,12645,14409,13461,13259,10058,17961,12731,29676,15645,44529,22719,18806,22241,17221,14084,13959,13265,8924,11956,3691,9488,163,1295,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1708,금정,415,3,24913,6092,40662,20768,101010,44030,104748,91936,64380,34178,45136,23964,38589,23165,40074,26304,37258,28995,31685,32505,32751,38053,37095,48611,52721,62730,77708,96536,40084,86580,32237,56182,29696,54676,22925,50168,11024,36482,1267,13453,4,717,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1709,군포,66,1,6073,2367,9040,7694,22299,27089,20950,50607,12589,9325,9373,6150,8954,5464,9968,6149,8753,6482,7556,6828,7353,7976,9140,9723,19935,12735,33885,16681,15812,16299,13132,10489,9662,8766,4471,7406,1818,5284,122,946,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1710,의왕,25,1,7012,2580,12989,8297,31462,28283,33847,30001,17639,11401,13032,8920,12255,8068,12632,8444,11849,9945,11285,10016,11672,11448,14890,14425,26830,18440,29705,25037,14667,24558,11194,16122,8528,16735,5783,13673,2624,10098,179,2262,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1711,성균관대,85,3,8456,2412,27997,6797,76940,13074,66523,37308,33379,23342,25585,20683,23840,16543,23899,16144,24743,21105,20430,19417,22479,21785,29077,27415,31552,36625,32061,56018,20891,56026,17088,38356,17059,35805,15457,32393,7724,22226,422,4967,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1712,화서,279,2,7570,1301,20274,3868,47238,8455,38952,15641,20169,7881,14935,7294,13088,7693,12435,8653,11205,10681,9549,10273,9601,12143,10599,16145,13264,20606,12940,32756,8149,32535,6356,20494,5380,17674,4528,15997,1469,10660,86,3147,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1713,수원,1519,47,22612,6833,43598,34071,90169,66272,99522,108886,69245,101815,60263,76126,63102,78409,68056,89101,71283,89053,73043,82889,86433,87952,105671,106884,120703,120998,119423,143941,102969,136624,102594,79747,85220,64363,76251,54316,31114,34614,1100,10905,2,1,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1714,독산,766,6,7375,2712,19006,14399,48861,39895,44514,110773,27863,43301,20654,16940,19642,13869,21040,13864,20071,16096,17804,17413,19265,18790,23003,22839,45411,28691,78430,39206,38652,42214,21422,25871,17726,24614,11551,22940,4072,14355,157,1245,0,2,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1715,세류,248,0,3300,869,9392,3133,18957,5874,14277,5506,8703,4075,7101,3914,6669,4058,5684,3982,5126,4249,4697,4551,5017,5929,5927,7149,8245,9316,7749,13125,5307,13119,4262,9209,3298,7655,2347,7062,738,4803,12,1564,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1716,병점,2366,17,7323,4438,26487,10864,59948,24142,51192,39757,34632,30788,27033,22390,25527,16991,28159,23498,24243,19957,23752,21868,27440,24290,33386,29481,41776,40272,45392,48839,27647,48966,18876,37543,17443,33511,14353,30844,4152,20709,51,10600,1,38,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1717,세마,151,5,1675,578,5780,1248,11229,4049,10137,6091,7617,2185,5048,2118,4384,2128,4481,2587,4119,2874,3533,3317,3749,3777,5438,4902,6082,6636,6138,9005,3291,7135,2347,7236,2131,6008,1386,4549,525,3994,28,188,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1718,오산대,51,0,2015,612,4614,2522,11661,4715,9021,13794,6432,15319,5002,8545,4856,6771,6385,5790,6511,4731,7500,4237,9482,4534,12704,5539,13153,6724,9852,9480,4688,7416,3168,6605,2776,5218,1697,4386,692,3591,33,210,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1719,오산,169,4,4667,1490,11967,9627,28624,21747,26988,24936,21325,14145,18752,13234,18073,12245,19236,13253,17833,14491,17291,14219,18154,17427,22471,22314,28348,26518,31969,28382,17967,26794,15960,21324,12682,19445,7666,16763,3472,9347,104,660,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,경부선,1720,진위,11,0,577,234,1694,1930,4652,6302,3777,10207,3033,1765,2372,1333,2127,1333,2160,1237,1945,1731,1780,1487,2560,1829,4062,2288,7077,3124,9007,3014,3496,2640,2199,2686,1194,2358,621,1866,350,1174,14,77,0,0,0,0,0,0,2018-05-03 13:30:17
